game_id,move_number,player,clock,move,best_score,played_score,engine_depth
Chess.com-2024.01.09,106,Grischuk,6.3,a6b4,512,522,20
Chess.com-2024.01.09,108,Grischuk,6.0,c2d3,607,675,20
Chess.com-2024.01.09,110,Grischuk,5.4,d3e4,684,697,20
Chess.com-2024.01.09,112,Grischuk,6.3,b4c6,734,830,20
Chess.com-2024.01.09,114,Grischuk,5.4,c6d4,865,865,20
Chess.com-2024.01.09,116,Grischuk,5.1,a3b4,6140,875,20
Chess.com-2024.01.09,118,Grischuk,5.2,b4b5,875,1177,20
Chess.com-2024.01.09,120,Grischuk,5.6,b5b6,1320,1343,20
Chess.com-2024.01.09,122,Grischuk,5.7,b6b7,1400,1408,20
Chess.com-2024.01.09,124,Grischuk,6.6,d4c6,6469,,20
Chess.com-2024.01.09,53,Grischuk,9.9,c5e4,-167,-166,20
Chess.com-2024.01.09,59,Grischuk,6.1,f5d7,-147,-198,20
Chess.com-2024.01.09,61,Grischuk,6.0,h7h6,-233,-232,20
Chess.com-2024.01.09,63,Grischuk,3.7,d6e8,-237,-753,20
Chess.com-2024.01.09,65,Grischuk,4.0,d7d6,-272,-299,20
Chess.com-2024.01.09,67,Grischuk,1.9,e8d6,-181,-187,20
Chess.com-2024.01.09,69,Grischuk,2.8,a8c8,-118,-120,20
Chess.com-2024.01.09,71,Grischuk,3.5,a7a5,-117,-434,20
Chess.com-2024.01.09,73,Grischuk,3.1,d6f7,-431,-684,20
Chess.com-2024.01.09,75,Grischuk,3.1,c8c1,-653,-642,20
Chess.com-2024.01.09,77,Grischuk,3.0,c1d1,-624,-690,20
Chess.com-2024.01.09,79,Grischuk,3.9,g7g5,-721,-712,20
Chess.com-2024.01.09,81,Grischuk,1.7,g8h7,-715,-709,20
Chess.com-2024.01.09,83,Grischuk,2.2,f7d8,-668,-723,20
Chess.com-2024.01.09,85,Grischuk,1.8,d1e1,-710,-730,20
Chess.com-2024.01.09,87,Grischuk,2.2,e1e2,-596,-610,20
Chess.com-2024.01.09,89,Grischuk,2.4,e2f2,-606,-615,20
Chess.com-2024.01.09,91,Grischuk,2.9,f6f5,-621,-616,20
Chess.com-2024.01.09,93,Grischuk,2.8,f5f4,-621,-580,20
Chess.com-2024.01.09,95,Grischuk,3.4,f2e2,-450,-469,20
Chess.com-2024.01.09,97,Grischuk,3.4,e2c2,-465,-477,20
Chess.com-2024.01.09,99,Grischuk,3.1,f4f3,-469,-488,20
Chess.com-2024.01.09,101,Grischuk,2.9,f3g2,-475,-480,20
Chess.com-2024.01.09,103,Grischuk,2.9,h7g6,-476,-500,20
Chess.com-2024.01.09,105,Grischuk,3.1,h6h5,-418,-586,20
Chess.com-2024.01.09,107,Grischuk,2.9,g6f7,-620,-648,20
Chess.com-2024.01.09,109,Grischuk,2.9,c2a2,-486,-563,20
Chess.com-2024.01.09,111,Grischuk,3.6,f7e7,-571,-574,20
Chess.com-2024.01.09,80,Grischuk,8.9,d3c2,776,672,20
Chess.com-2024.01.09,82,Grischuk,8.7,e2h5,783,704,20
Chess.com-2024.01.09,84,Grischuk,7.6,f4d3,761,704,20
Chess.com-2024.01.09,86,Grischuk,7.5,b1b6,771,715,20
Chess.com-2024.01.09,88,Grischuk,7.6,h5f3,715,707,20
Chess.com-2024.01.09,90,Grischuk,6.9,f3e2,784,800,20
Chess.com-2024.01.09,92,Grischuk,6.2,g1g2,807,769,20
Chess.com-2024.01.09,94,Grischuk,6.0,d3f4,845,792,20
Chess.com-2024.01.09,96,Grischuk,5.7,e2f3,1012,1043,20
Chess.com-2024.01.09,98,Grischuk,5.7,c2e4,1186,992,20
Chess.com-2024.01.09,100,Grischuk,5.4,f3e4,1087,1091,20
Chess.com-2024.01.09,77,Grischuk,9.3,h5h4,-167,-412,20
Chess.com-2024.01.09,79,Grischuk,6.0,d1d2,-370,-453,20
Chess.com-2024.01.09,81,Grischuk,5.1,d2a2,-538,-536,20
Chess.com-2024.01.09,83,Grischuk,5.0,e5d3,-440,-538,20
Chess.com-2024.01.09,85,Grischuk,3.5,d3e5,-541,-730,20
Chess.com-2024.01.09,87,Grischuk,4.4,a2a3,-647,-760,20
Chess.com-2024.01.09,89,Grischuk,3.5,a3a2,-570,-661,20
Chess.com-2024.01.09,91,Grischuk,3.6,e5c4,-511,-499,20
Chess.com-2024.01.09,93,Grischuk,3.0,c4e5,-547,-587,20
Chess.com-2024.01.09,95,Grischuk,2.1,a2g2,-592,-715,20
Chess.com-2024.01.09,97,Grischuk,2.2,e5f3,-700,-709,20
Chess.com-2024.01.09,96,Grischuk,8.3,f3e4,722,746,20
Chess.com-2024.01.09,98,Grischuk,8.0,e4d4,804,772,20
Chess.com-2024.01.09,100,Grischuk,7.8,d5c6,853,857,20
Chess.com-2024.01.09,102,Grischuk,7.6,g3g4,853,869,20
Chess.com-2024.01.09,104,Grischuk,7.5,a3b4,934,964,20
Chess.com-2024.01.09,106,Grischuk,7.3,d4c3,969,969,20
Chess.com-2024.01.09,108,Grischuk,7.7,g4h5,979,1148,20
Chess.com-2024.01.09,110,Grischuk,6.5,h3h4,1160,1637,20
Chess.com-2024.01.09,112,Grischuk,5.5,c3c4,1836,2459,20
Chess.com-2024.01.09,114,Grischuk,5.5,b4b5,2419,6187,20
Chess.com-2024.01.09,116,Grischuk,5.8,f4f5,6120,6494,20
Chess.com-2024.01.09,118,Grischuk,6.3,c4c5,7560,,20
Chess.com-2024.01.09,120,Grischuk,6.5,b5b6,,,20
